jobName,companyName,salary,experience,place,companySize,special,school,description
【研發替代役】機器學習工程師,富邦人壽保險股份有限公司(總公司),依公司規定,經歷不拘,台北市內湖區,員工22044人,,碩士,"1.利用機器學習和統計模型從大量客戶服務數據資料中挖掘各式使用者行為和能付諸行動的洞見與觀察建立客戶服務所需之智能客戶服務系統
2.智能客服系統之研究、評估與建置"
FL-【金控】IT資訊工程師(年90~110萬),新加坡商立可人事顧問有限公司台灣分公司,面議,1年以上,台北市松山區,,外商公司,大學,"1. 負責規劃交易軟體、投資研究相關軟體開發及維護 
2. 開發MIS系統的功能，以符合企業需求
3. 網路技術及MS SQL資料庫管理及應用
4. 促進專案開發順利與確認完成功能的正確性"
程式設計師/資深程式設計師 (網路投保),(總公司)南山人壽保險股份有限公司,面議,1年以上,台北市中山區,員工4000人,,專科,"●與User就網站功能需求溝通討論
●網路投保網站系統功能開發
●維護現有網路投保網站系統之功能"
php程式設計師,鼎楊國際資訊股份有限公司,面議,1年以上,台北市大同區,,,專科,"1.進行網路程式的需求分析。 
2.開發以網路為基礎的應用程式（Web-based application )
3.採用自行開發的php框架,快速的物件導向開發
4.發揮團隊合作精神，並且願意接受挑戰進而成為獨當一面的系統工程師。
5.具備有愉快的的環境與機會,與合作夥伴一同學習與成長！
6.強調自我管理的企業文化,並重視個人專業技能的培育與養成。"
.NET程式設計師,財團法人台灣金融研訓院,面議,經歷不拘,台北市中正區,員工150人,,專科,"1.訪談並與業務單位確定各項需求
2.維護資訊系統之運作
3.控管MIS系統權限
4.執行交辦程式開發工作
5.更正或擷取資料庫之資料
6.程式開發技術研究"
Unity程式設計師,數位魔方科技股份有限公司,面議,經歷不拘,台北市信義區,員工20人,,學歷不拘,"工作內容：
1. 熟悉開發Unity含 C#程式 
2. Unity UI/UX 程式串接
3. 熟營運SDK串接(IOS/Android)
4. 熟悉資料庫程式設計, 並編寫過Unity後台與資料庫連結經驗
5. 具2年以上APP開發"
約聘行政助理(潘文涵老師實驗室)1711-08,中央研究院_生物醫學科學研究所,面議,經歷不拘,台北市南港區,,,大學,"1. PHP 網站開發/維護
2. UNIX/Linux 系統管理
3. MySQL 資料庫備份備援維護
4. 系統網站與資料之備份備援維護
5. 問卷電子化設計
6. 網頁程式連結設計
7. 協助維護訪查人員資訊設備"
手機 App 研發工程師 (Android),研鼎智能股份有限公司,面議,2年以上,台北市內湖區,員工60人,,大學," App 維護及新功能開發
    - 手機 App 透過藍牙連接裝置，實現資料傳輸 (ARQ; application layer)、控制藍牙裝置、連接雲端平台的資料同步、以及為使用者顯示個人健康運動資料等功能。

關鍵字 / keywords"
IT工程師(IT Engineer),Synology_群暉科技股份有限公司,依公司規定,3年以上,台北市大同區,員工650人,,大學,". Virtualization平台管理
3. 監控平台建置與管理
4. 資訊安全管理
5. Log Server 大數據資料分析
6. 伺服器管理自動化(DevOps)

將依興趣與能力分配工作，不要求樣樣精通，我們只重視如何解決問題，希望應徵者為我們帶來全新"
Application Analyst/Designer (ICE Team),台灣西思艾軟體股份有限公司,面議,經歷不拘,台北市信義區,,,大學,"
對於SQL及關聯式資料庫有基本概念
具備獨立開發及協同合作之能力"
後端軟體工程師,瑞保網路科技股份有限公司,面議,2年以上,台北市中山區,,,大學,"/Facebook API等
3. 協助同仁查詢/整合資料數據"
知名遊戲科技集團誠徵PHP開發工程師(績效獎金、福利優渥!!) LO1,新加坡商艾得克有限公司台灣分公司,月薪 9萬元 至 15萬元,經歷不拘,台北市信義區,員工90人,外商公司,高中,"1、按系統設計完成功能模組的編寫； 
2、編寫模組詳細設計文檔，和相關技術資料； 
3、負責對開發內容的單元測試、集成測試； 
4、負責解決開發過程中的技術問題；"
JAVA 系統設計師-F22R,精誠資訊股份有限公司,面議,2年以上,台北市內湖區,員工2000人,上市上櫃,專科,"技術需求
1. 軟體架構分析與設計
2. 系統功能分析與設計
3. 軟體開發與整合測試
4. 熟 Angular、Java與資料庫系統者佳
5. 具備金融交易系統開發經驗者佳"
Sweesa 網路服飾品牌 後端工程師,SWEESA_香港商克里事業有限公司台灣分公司,面議,3年以上,台北市南港區,,,專科,"溝通
5.負責與伺服器及網路設備安裝、設定、管理及維護廠商溝通
6.維護資訊系統運作、異常狀況初步排除。 
7.系統的監控與資料備份&復原機制，定期的報告、報表製作與事件紀錄
8.主管交辦事項"
資安系統工程師-B15C,精誠資訊股份有限公司,面議,經歷不拘,台北市內湖區,員工2000人,上市上櫃,專科,"1. 滲透鑑識服務。
2. 駭客攻防演練。
3. 網站與系統掃描、源碼檢測、滲透測試與資安事故調查等資安服務。
4. 熟悉Owasp top 10弱點。
5.熟悉網站伺服器三層式架構、網路OSI七層、基本資料庫語法、熟程式撰寫如"
【信義房屋】數據工程師(Data Engineer),信義房屋仲介股份有限公司,面議,經歷不拘,台北市信義區,,上市上櫃,大學,"處理平台。
3.規劃/開發Data Pipeline，自動化整合數據處理流程。
4. 使用統計，數學,機器學習等方法挑戰實際商業活動的數據分析。
5. 資料科學相關的最新方法與工具應用與研究。

職涯規劃
身為資料科學團隊一員，將數位行銷、人力資源"
軟體測試工程師 (Software Testing Engineer),中兆匯科技服務股份有限公司,面議,經歷不拘,台北市內湖區,,,專科,"1.了解產品內容，撰寫測試計劃及案例
 2.執行Web.iOS及Android平台相關測試
 3.分析測試資料，釐清問題後提出改善建議
 4.彙整測試報告及分析測試結果，追蹤問題俢復狀況
希望能夠找到對新技術有興趣，同時願意與開發人員一起"
Operations Research Data Scientist_台達研究院(台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,面議,1年以上,台北市內湖區,員工83000人,上市上櫃,碩士,"「台達研究院」成立於2013年，除致力於大數據分析及物聯網應用與解決方案的開發與整合，加速企業轉型成功，也積極與產官學研生態體系協作，以開放創新模式，創造多贏生態圈。

本職工作內容包含:

1. 以統計與機器學習手法分析資料，尋求解決"
全端工程師 (Full Stack developer),香港商台灣女生日常有限公司台灣分公司,面議,5年以上,台北市中山區,,,專科,"專案製作清晰的開發規劃、架構設計、資料庫設計

要求: 
專科以上學歷電腦科學/資訊系統或同等學歷 
5年以上開發並應用大規模分析系統經驗 
良好物件導向程式編寫, Node.js, Python. PHP經驗 
對前端程開發有一定認識"
DBA工程師(B0203),PChome Online_網路家庭國際資訊(股)公司,依公司規定,經歷不拘,台北市大安區,員工1000人,,大學,"1.Perform daily monitoring of multiple databases
 2.Backup Execution/Monitoring
 3.Performance Tuning
 4.Capacity Planning
 5.Replication Monitoring
 6.Support in planning, design, and development of new DBMS-centric capabilities
 7.Assisting developers on DBMS usage guidelines, improvements in logic and other design considerations"
I3901 Data Engineer (熟SQL),遠傳電信股份有限公司,面議,3年以上,台北市內湖區,員工6300人,上市上櫃,大學,"1.Evaluate, design and implement highly scalable data management systems for data ingestion, storage, processing, and visualization
2.Proficient in relational databases, data modeling, SQL, data warehouse, or business intelligence.
3.Support data scientists to ingest, integrate and pre-process data, in batch or streaming.
4.Develop and maintain the Sales Analyzer System"
