jobName,companyName,salary,experience,place,companySize,special,school,description
.NET 系統分析師-F22R,精誠資訊股份有限公司,面議,3年以上,台北市內湖區,員工2000人,上市上櫃,專科,"「F22R-數位金融整合服務處」為大型專業金融交易系統整合與開發技術團隊，擁有完整金融交易系統領域知識，以及專業的跨平台技術整合與軟體開發能力，對新進同仁有完整的教育訓練及指導員制度，歡迎對金融領域有興趣，且對技術有熱情的朋友加入。

工作內容與技術需求
1. 需求分析與管理
2. 系統分析與設計
3. 熟 ASP.NET、C#、Angular以及 SQL Server 者佳
4. 具備金融交易系統開發經驗者佳"
VA Engineer-Deep learning and Data Scentist,光寶科技股份有限公司,面議,3年以上,台北市內湖區,員工55000人,上市上櫃,大學,"- Data collecting and analysis
- Deep Learning algorithm design"
手持裝置軟體高級工程師_7207,和碩集團_和碩聯合科技股份有限公司,依公司規定,3年以上,台北市北投區,員工6000人,,大學,"： 1. 分析Smart Phone軟體/韌體相關問題
2. 需使用英文與客戶溝通,解決問題
3. 需到China出差, 比例每年約30%
4. 有時需前往美國出差"
OpsDev - Monitoring Software Engineer,紅檜科技有限公司,面議,3年以上,台北市內湖區,,,大學,", alerting, and metrics gathering/analysis systems for compute clusters, storage systems, networks, web infrastructure"
4506: Digital Business Engineer (CEB BA),Trend Micro_趨勢科技股份有限公司,面議,3年以上,台北市大安區,員工5200人,外商公司,大學," marketing and digital service
Follow consistent analysis methodology
Perform communication capability
Prepare material and present"
I3901 Data Engineer (熟SQL),遠傳電信股份有限公司,面議,3年以上,台北市內湖區,員工6300人,上市上櫃,大學,"1.Evaluate, design and implement highly scalable data management systems for data ingestion, storage, processing, and visualization
2.Proficient in relational databases, data modeling, SQL, data warehouse, or business intelligence.
3.Support data scientists to ingest, integrate and pre-process data, in batch or streaming.
4.Develop and maintain the Sales Analyzer System"
【研發替代役專區】資料科學家,國泰金控_國泰金融控股股份有限公司,面議,經歷不拘,台北市信義區,員工200人,上市上櫃,碩士,"(1)  與跨部門業務合作，分析客戶行為及數據洞察，協助商業決策、商機探索
(2) 運用機器學習（分群、關聯及迴歸等演算法）、深度學習方法，建置預測模型，找出潛在的目標客群，協助行銷名單產製"
JSF/UIX 系統設計師,威華達資訊有限公司,依公司規定,5年以上,台北市中正區,員工60人,,專科,"1.負責軟體之分析、設計以及程式撰寫。
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3.進行軟體之測試與修改。
4.規劃、執行與維護量產的產品。
5.協助研發軟體新技術與新工具。
6.熟悉UML尤佳
7.熟悉JSF Framework
8.熟悉 Oracle UIX Migration
8.熟悉Design Pattern"
PHP 程式設計師/系統設計師,威華達資訊有限公司,依公司規定,5年以上,台北市中正區,員工60人,,專科,"1.負責軟體之分析、設計以及程式撰寫。
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3.進行軟體之測試與修改。
4.規劃、執行與維護量產的產品。
5.協助研發軟體新技術與新工具。
6.熟悉PHP
7.熟悉ExtJs, jQuery, Ajax等相關用法或Opensource套件"
Java EE 系統設計師,威華達資訊有限公司,依公司規定,5年以上,台北市中正區,員工60人,,專科,"1.負責軟體之分析、設計以及程式撰寫。 
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度。 
3.進行軟體之測試與修改。 
4.規劃、執行與維護量產的產品。 
5.協助研發軟體新技術與新工具。 
6.熟悉UML尤佳 
7.熟悉JSF, Struts2, Spring, Hibernate, ibatis"
應用軟體工程師,立普思股份有限公司,面議,1年以上,台北市內湖區,員工120人,,大學,"1. 熟練C/C++。
2. 熟悉Windows/Linux Programming .Net/PHP/SQL
3. 有網管經驗,測試程式撰寫經驗,熟LAMP者佳"
《107年度研發替代役》應用軟體工程師,立普思股份有限公司,面議,經歷不拘,台北市內湖區,員工120人,,碩士,"1. 熟練C/C++。
2. 熟悉Windows/Linux Programming .Net/PHP/SQL
3. 有網管經驗,測試程式撰寫經驗,熟LAMP者佳"
