jobName,companyName,salary,experience,place,companySize,special,school,description
Data Center Engineer,Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,依公司規定,5年以上,台北市信義區,員工120人,外商公司,專科," network services. 
Knowledge of managing a data center in terms of systems monitoring, capacity planning and performance tuning"
"Senior Software Engineer, Data Analysis",泰鼎網路安全科技有限公司_Nexusguard Limited,面議,3年以上,台北市內湖區,員工30人,,專科,Nexusguard is seeking a data scientist/engineer that will work on projects of DDoS anomaly detection and Internet intrusion
Lead Engineer - APAC Data Team,香港商雅虎資訊股份有限公司(Yahoo!奇摩),面議,5年以上,台北市南港區,員工1200人,外商公司,大學," client meetings, we call out and focus on the “YOURS” on this slide.

The Data and EC Planning team, a subdivision of"
AD30066 客服資料分析師 (Service Data Analyst),華碩電腦股份有限公司,面議,3年以上,台北市北投區,員工6500人,上市上櫃,大學," insights and reporting capabilities
2. Develop standardized metrics, reports and dashboards using customer behavioral data
3"
Sensor Data Fusion & System Engineering,富凱禾股份有限公司,面議,經歷不拘,台北市信義區,,,碩士," text recognition; 2) sensor data fusion and system engineering, specifically on LiDar/radar/sonar data fusion/analysis"
數據分析與AI實習 (Machine Learning/Data Science),阿福股份有限公司,月薪 2萬8仟元 至 4萬5仟元,經歷不拘,台北市中山區,員工20人,,大學,"[Data Scientist Track] 
1. Discover/Extract insights which could potentially help grow business intelligence from existing"
Backend Engineer (Real Time Data Serving),國泰金控_國泰金融控股股份有限公司,面議,經歷不拘,台北市信義區,員工200人,上市上櫃,大學,"- Design ETL from Hadoop to NoSQL
- Design data model
- Build query API
- Design resilient, scalable architecture"
數據工程師 Data Engineer,威朋大數據股份有限公司,面議,經歷不拘,台北市松山區,員工90人,外商公司,大學,"[About this job]
1. Develop, operate, and monitor ETL for data collection, cleansing, processing, storage, and analytics"
Data Engineer資料工程師,CatchPlay_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,面議,3年以上,台北市內湖區,員工150人,,大學,"Responsibility：
-Support report creating for business .
-Support with data exploratory , new data testing/validating"
[KKBOX] Data Science/Machine Learning Intern,願境網訊股份有限公司_KKBOX,面議,經歷不拘,台北市南港區,員工400人,,大學, the right time are our every day mission. The research center is responsible for applying machine learning and data mining
